QN,QFigureFile,QHeader,QText,QRecordStart,QRecordEnd,QRecordElapsed,QRecordAnswer,QType,QAnswers,QRightAnswer
1,./src/fms-figs/model-i1-i1-1.jpg,Question1,Is K-J-G a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
2,./src/fms-figs/model-i1-i1-2.jpg,Question2,Is B-G-H a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
3,./src/fms-figs/model-i1-i2-1.jpg,Question3,Is A-B-C-G-I-F a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
4,./src/fms-figs/model-i1-i2-2.jpg,Question4,Is A-B-C-D-G-E a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
5,./src/fms-figs/model-i1-i3-1.jpg,Question5,Is A-B-J-C-L-M a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
6,./src/fms-figs/model-i1-i3-2.jpg,Question6,Is B-C-G-J-M-F a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
7,./src/fms-figs/model-i2-i1-1.jpg,Question7,Is A-B-G-C-J-E a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
8,./src/fms-figs/model-i2-i1-2.jpg,Question8,Is B-F-L-C-J-R a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
9,./src/fms-figs/model-i2-i2-1.jpg,Question9,Is A-B-F-C-J-D-M a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
10,./src/fms-figs/model-i2-i2-2.jpg,Question10,To complete the valid PARTIAL configuration A-B-E-C-H-M-N-J-D-K which feature you MUST select?,true,true,false,false,radio,G ; I; O; P,No
11,./src/fms-figs/model-i2-i3-1.jpg,Question11,Is O-P-H-E-N-S a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
12,./src/fms-figs/model-i2-i3-2.jpg,Question12,Is H-L-J-P-G a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
13,./src/fms-figs/model-i3-i1-1.jpg,Question13,Is B-G-H-P-Q-T a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
14,./src/fms-figs/model-i3-i1-2.jpg,Question14,Is F-I-P-S-V-Z a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
15,./src/fms-figs/model-i3-i2-1.jpg,Question15,Is D-J-O-Q-S-G a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
16,./src/fms-figs/model-i3-i2-2.jpg,Question16,Is A-B-C-I-G-R a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
17,./src/fms-figs/model-i3-i3-1.jpg,Question17,Is A-F-M-G-N-H-Q a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
18,./src/fms-figs/model-i3-i3-2.jpg,Question18,Is Q-Y-Bb-S-Z-Ff a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
19,./src/fms-figs/model-i4-i1-1.jpg,Question19,Is A-F-R-Dd-Ll-H-Cc a valid FULL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,Yes
20,./src/fms-figs/model-i4-i1-2.jpg,Question20,Is I-P-T-Y-Ii-Mm a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
21,./src/fms-figs/model-i4-i2-1.jpg,Question21,Is G-Y-H-K-Jj-V a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
22,./src/fms-figs/model-i4-i2-2.jpg,Question22,Is Qq-F-Ff-G-AaA-BbB a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
23,./src/fms-figs/model-i4-i3-1.jpg,Question23,Is E-Bb-Cc-L-M-O-Q a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
24,./src/fms-figs/model-i4-i3-2.jpg,Question24,Is E-W-Ii-Aa-O-S a valid PARTIAL configuration?,true,true,false,false,radio,Yes ; No; I cannot answer,No
